Well_ID	Treatment	N_source	miRNA	Pair	Dose(uM)	Time	OD_600
A6	N.A.	L-Proline	N.A.	N.A.	N.A.	4	0.0849
A7	N.A.	Glycine	N.A.	N.A.	N.A.	4	0.0863
A8	N.A.	L-Isoleucine	N.A.	N.A.	N.A.	4	0.0895
A9	N.A.	L-Methionine	N.A.	N.A.	N.A.	4	0.0876
B1	N.A.	L-Tryptophan	N.A.	N.A.	N.A.	4	0.0959
B2	plant_miRNA	L-Isoleucine	mix_5	1	10	4	0.121
B3	plant_miRNA	L-Tryptophan	mix_5	1	10	4	0.1051
B4	scrambled_miRNA	Glycine	mix_5	2	10	4	0.1052
B5	plant_miRNA	L-Lysine	mix_5	2	10	4	0.1041
B6	scrambled_miRNA	L-Methionine	mix_5	3	10	4	0.109
B7	plant_miRNA	Glycine	mix_5	3	10	4	0.1059
B8	scrambled_miRNA	L-Tryptophan	mix_5	4	10	4	0.1086
B9	plant_miRNA	L-Proline	mix_5	4	10	4	0.1013
B10	scrambled_miRNA	L-Lysine	mix_5	5	10	4	0.1038
B11	scrambled_miRNA	L-Isoleucine	mix_5	5	10	4	0.0993
B12	N.A.	L-Isoleucine	N.A.	N.A.	N.A.	4	0.0924
C1	N.A.	L-Isoleucine	N.A.	N.A.	N.A.	4	0.0912
C2	scrambled_miRNA	L-Isoleucine	mix_5	1	10	4	0.1218
C3	scrambled_miRNA	L-Tryptophan	mix_5	1	10	4	0.1075
C4	plant_miRNA	Glycine	mix_5	2	10	4	0.1143
C5	scrambled_miRNA	L-Lysine	mix_5	2	10	4	0.1013
C6	plant_miRNA	L-Methionine	mix_5	3	10	4	0.1051
C7	scrambled_miRNA	Glycine	mix_5	3	10	4	0.1042
C8	plant_miRNA	L-Tryptophan	mix_5	4	10	4	0.1073
C9	scrambled_miRNA	L-Proline	mix_5	4	10	4	0.1015
C10	plant_miRNA	L-Lysine	mix_5	5	10	4	0.1045
C11	plant_miRNA	L-Isoleucine	mix_5	5	10	4	0.1055
C12	N.A.	Glycine	N.A.	N.A.	N.A.	4	0.0864
D1	N.A.	L-Methionine	N.A.	N.A.	N.A.	4	0.0836
D2	plant_miRNA	L-Methionine	mix_5	1	10	4	0.0928
D3	plant_miRNA	Glycine	mix_5	1	10	4	0.103
D4	plant_miRNA	L-Proline	mix_5	2	10	4	0.1078
D5	scrambled_miRNA	L-Methionine	mix_5	2	10	4	0.111
D6	scrambled_miRNA	L-Isoleucine	mix_5	3	10	4	0.1103
D7	plant_miRNA	L-Tryptophan	mix_5	3	10	4	0.118
D8	scrambled_miRNA	L-Lysine	mix_5	4	10	4	0.1065
D9	plant_miRNA	L-Isoleucine	mix_5	4	10	4	0.106
D10	scrambled_miRNA	Glycine	mix_5	5	10	4	0.1076
D11	scrambled_miRNA	L-Proline	mix_5	5	10	4	0.1073
D12	N.A.	L-Tryptophan	N.A.	N.A.	N.A.	4	0.0885
E1	N.A.	L-Lysine	N.A.	N.A.	N.A.	4	0.0838
E2	scrambled_miRNA	L-Methionine	mix_5	1	10	4	0.1049
E3	scrambled_miRNA	Glycine	mix_5	1	10	4	0.0987
E4	scrambled_miRNA	L-Proline	mix_5	2	10	4	0.1041
E5	plant_miRNA	L-Methionine	mix_5	2	10	4	0.1068
